Stock Name,live Price,Day Change,PE Ratio,Forward Divident & Yield,ROI,EPS
NVIDIA Corporation (NVDA),131.60,-6.47,61.78 ,0.04 (0.03%),55.26%,2.13
Trump Media & Technology Group Corp. (DJT),27.06,-2.89,-62.93,--,-43.51%,-0.43
"Walgreens Boots Alliance, Inc. (WBA)",9.21,+0.18,-1.37,1.00 (10.86%),1.30%,-6.74
"SoFi Technologies, Inc. (SOFI)",10.18,+0.14,-46.27,--,-0.39%,-0.22
Intel Corporation (INTC),23.88,-0.05,99.48 ,0.50 (2.09%),0.16%,0.24
NIO Inc. (NIO),5.62,-0.17,-3.65,--,-14.68%,-1.54
Apple Inc. (AAPL),233.85,+2.55,35.59 ,1.00 (0.43%),22.61%,6.57
"Tesla, Inc. (TSLA)",219.57,+0.41,61.85 ,--,4.42%,3.55
Bank of America Corporation (BAC),42.14,+0.23,14.79 ,1.04 (2.48%),0.77%,2.85
"MARA Holdings, Inc. (MARA)",16.92,-0.06,18.80 ,--,1.91%,0.90
Palantir Technologies Inc. (PLTR),40.79,+1.90,239.97 ,--,3.98%,0.17
Telefonaktiebolaget LM Ericsson (publ) (ERIC),8.53,+0.99,-8.2,0.26 (3.45%),3.52%,-1.04
"Advanced Micro Devices, Inc. (AMD)",156.64,-8.63,186.48 ,--,0.80%,0.84
Ford Motor Company (F),10.84,-0.08,11.29 ,0.60 (5.49%),0.80%,0.96
Carnival Corporation & plc (CCL),21.55,+1.34,18.42 ,--,4.25%,1.17
"CleanSpark, Inc. (CLSK)",11.23,+0.42,-11.34,--,2.20%,-0.99
Arcadium Lithium plc (ALTM),2.8180,-0.0620,8.29 ,--,2.55%,0.3400
Banco Bradesco S.A. (BBD),2.6100,-0.0400,12.43 ,0.04 (1.59%),0.69%,0.2100
"Super Micro Computer, Inc. (SMCI)",47.76,+0.37,23.76 ,--,11.62%,2.01
American Airlines Group Inc. (AAL),12.03,+0.16,-66.83,--,2.78%,-0.18
Vale S.A. (VALE),10.79,-0.31,4.80 ,1.78 (16.01%),9.44%,2.25
Grab Holdings Limited (GRAB),3.6100,-0.0200,-72.2,--,-2.04%,-0.0500
AT&T Inc. (T),21.51,+0.25,12.36 ,1.11 (5.22%),3.96%,1.74
Citigroup Inc. (C),62.64,-3.37,17.30 ,2.15 (3.26%),0.35%,3.62
Alibaba Group Holding Limited (BABA),101.84,-5.97,25.78 ,2.00 (1.86%),4.68%,3.95
